50 Cent|60 Cent|1975-07-06
Emmanuelle Bercot|Emmiliana Berrand|1967-11-06
Emmanuelle Béart|Emiliana Barté|1963-08-14
Emmanuelle Chriqui|Emiliana Chrien|1975-12-10
Emmanuelle Laborit|Emmiliana Laberat|1971-10-18
Emmanuelle Riva|Emmiliana Ravi|1927-02-24 – 2017-01-27
Emmanuelle Seigner|Emmiliana Seegner|1966-06-22
Emmanuelle Vaugier|Emmiliana Vaurel|1976-06-23
Emmy Rossum|Emma Ruesome|1986-09-12
Emory Cohen|Eamon Cohab|1990-03-13
Emraan Hashmi|Emric Hasmin|1979-03-24
Engelbert Humperdinck|Egelbert Pumpeldinck|1936-05-02
Ennio Morricone|Enrico Murreconi|1928-11-10 – 2020-07-06
Enrico Casarosa|Ernesto Casalilla|1971-11-20
Enrico Montesano|Ernesto Montelone|1945-06-07
Enrique Irazoqui|Edmundo Irazco|1944-07-05 – 2020-09-16
Enrique Murciano|Enrico Murcellino|1973-07-09
Enrique Villén|Edmundo Villet|1960-05-01
Enrique Álvarez Félix|Enrico Amarez Ferriz|1934-04-06 – 1996-05-24
Enuka Okuma|Eri Okuto|1976-09-20
Enzi Fuchs|Enzo Fochs|1937-01-28
Enzo Barboni|Enzio Barbuti|1922-07-10 – 2002-03-23
Enzo Ferrari|Ennio Ferrazzi|1898-02-18 – 1988-08-14
Enzo G. Castellari|Ennio G. Castanari|1938-07-29
Erdil Yasaroglu|Ervin Yarasoglu|1971-11-02
Eric André|Ernest Andro|1983-04-04
Eric Balfour|Erik Bellfore|1977-04-24
Eric Bana|Erik Banal|1968-08-09
Eric Bogosian|Erik Bogussion|1953-04-24
Eric Bress|Elmer Briss|
Eric Brevig|Erik Breyvick|1957
Eric Carte|Ernest Caffe|1946
Eric Dane|Erik Dean|1972-11-09 – 2026-02-19
Eric Darnell|Erik Dornell|1961-08-21
Eric Douglas|Erick Duckless|1958-06-21 – 2004-07-06
Eric Idle|Erik Idol|1943-03-29
Eric Jelen|Erik Johlen|1965-03-11
Eric Johnson|Elmer Jameson|1979-08-07
Eric Kabongo|Elmer Kabunga|1984-05-21
Eric Karson|Erik Karter|
Eric Laneuville|Ernie Lanouvelle|1952-07-14
Eric Lloyd|Erik Llong|1986-05-19
Eric Mabius|Ernie Moebius|1971-04-22
Eric Nenninger|Ernest Narninger|1978-11-19
Eric Pierpoint|Ernie Painpoint|1950-11-18
Eric Porter|Ernie Porting|1928-04-08 – 1995-05-15
Eric Portman|Ernest Portwine|1901-07-13 – 1969-12-07
Eric Roberts|Erick Rotbarts|1956-04-18
Eric Schweig|Erik Schwaetz|1967-06-19
Eric Stoltz|Ernest Stultz|1961-09-30
Eric Stonestreet|Elmer Stonefield|1971-09-09
Eric Till|Ernie Tull|1929-11-24
Eric Tsang|Erick Tseng|1953-04-14
Eric Wang|Elmer Wong|1985-10-18
Eric Winter|Erik Wintrig|1976-07-17
Erica Ash|Erica Aas|1977-09-19 – 2024-07-28
Erica Leerhsen|Erika Loorhsen|1976-02-14
Erica Yohn|Erika Yahn|1928-10-01 – 2019-01-27
Erich Amerkamp|Erik Ampercamp|
Erich Honecker|Emil Hornecker|1912-08-25 – 1994-05-29
Erich Joey Pflüger|Erwin Joey Pflöcker|1936-05-26 – 2010-07-02
Erich Kästner|Erik Kästchen|1899-02-23 – 1974-07-29
Erich Ponto|Erik Pronto|1884-12-14 – 1957-02-14
Erich von Däniken|Erik van Danskeren|1935-04-14 – 2026-01-10
Erich von Stroheim|Erik van Strohalm|1885-09-22 – 1957-05-12
Erick Avari|Eric Avatari|1952-04-13
Ericson Core|Elmerson Cern|19xx
Erik S. Klein|Erich S. Kleid|1926-02-06 – 2002-10-22
Erik Skjoldbjærg|Eric Skjøldland|1964-12-14
Erik Stolhanske|Erich Stilhundske|1968-08-23
Erika Alexander|Emily Alexandro|1969-11-19
Erika Anderson|Emily Andresen|1963
Erika Christensen|Erica Christophsen|1982-08-19
Erika Eleniak|Emily Eneliak|1969-09-29
Erika Lust|Erica Luft|1977-04-05
Erika Marozsán|Emily Mágocsy|1972-08-03
Erin Gray|Enid Green|1950-01-07
Erland Josephson|Erling Jacobsson|1923-06-15 – 2012-02-25
Erna Sellmer|Eva Sellen|1905-06-19 – 1983-05-13
Ernest B. Schoedsack|Ernie B. Schrotsack|1893-06-08 – 1979-12-23
Ernest Borgnine|Elmer Bongrine|1917-01-24 – 2012-07-08
Ernest Dickerson|Elmer Duckersen|1951-06-25
Ernest Hemingway|Elmer Herringway|1899-07-21 – 1961-07-02
Ernie Barbarash|Eric Beatrash|1968-08-31
Ernie Hudson|Eric Huttsen|1945-12-17
Ernie Reyes Jr.|Eric Royes Jr.|1972-01-15
Erno Crisa|Eren Crivan|1914-03-10 – 1968-04-05
Ernst Deutsch|Ernst Dütsch|1890-09-16 – 1969-03-22
Ernst Happel|Ernst Happig|1925-11-29 – 1992-11-14
Ernst Hofbauer|Erhard Hoffbaur|1925-08-22 – 1984-02-24
Ernst Lubitsch|Erwin Lubitz|1892-01-29 – 1947-11-30
Ernst Marischka|Eswald Mareschke|1893-01-02 – 1963-05-12
Ernst W. Kalinke|Bert W. Kalenke|1918-09-23 – 1992-01-14
Ernst Waldemar Bauer|Ernst Waldemar Bacher|1926-02-28 – 2015-06-04
Ernst Wilhelm Borchert|Ernst Wilfried Burchard|1907-03-13 – 1990-06-01
Eros Pagni|Errol Pagno|1939-08-28
Errol Flynn|Erroll Flynt|1909-06-20 – 1959-10-14
Erwin C. Dietrich|Erwin C. Schlüssel|1930-10-04 – 2018-03-15
Erwin Geschonneck|Ewald Geschonwegg|1906-12-27 – 2008-03-12
Erwin Strahl|Ewald Stroh|1929-02-12 – 2011-04-20
Esai Morales|Enzo Morado|1962-10-01
Eskil Vogt|Esben Vørr|1974
Espen Sandberg|Esten Sandtburg|1971-06-17
Estelle Getty|Estelle Gotcha|1923-07-25 – 2008-07-22
Ester Amrami|Elvira Pampami|1979
Esther Gohourou|Ester Gohornou|
Esther Minciotti|Ester Mancetti|1888-05-20 – 1962-04-15
Esther Rolle|Ester Rolland|1920 – 1998-11-17
Esther Schweins|Ester Ferkels|1970-04-18
Eszter Bálint|Ester Bellent|1966-07-07
Ethan Coen|Evan Colan|1957-09-21
Ethan Embry|Evan Ember|1978-06-13
Ethan Hawke|Ethen Hark|1970-11-06
Ethan Lawrence|Eliott Laurent|1992-09-28
Ethan Suplee|Eliott Sufflee|1976-05-25
Ethel Merman|Elsa Melton|1908-01-16 – 1984-02-15
Eugene Boateng|Eustace Beotang|1985-03-20
Eugene Jarecki|Eustace Jaracko|19xx
Eugene Levy|Eustace Levite|1946-12-17
Eugene Roche|Eustace Ruche|1928-09-22 – 2004-07-28
Eugenio Derbez|Eusebio Derban|1962-09-02
Eugenio Mastrandrea|Egidio Mastrindea|1993-12-09
Eun-ju Lee|Eun-jun Li|1980-11-16 – 2005-02-22
Eunice Gayson|Euna Gayman|1928-03-17 – 2018-06-08
Eva Berthold|Erna Bechtholdt|1937
Eva Gabor|Evie Gebar|1919-02-11 – 1995-07-04
Eva Green|Evie Gruen|1980-07-06
Eva Habermann|Erna Halberman|1976-01-16
Eva Hassmann|Elsa Hassmensch|1972-12-29
Eva Kryll|Elsa Krymm|1953-03-24
Eva LaRue|Evie LaRoe|1966-12-27
Eva Maria Singhammer|Eva Marina Songhammerl|
Eva Marie Saint|Eve Maisie Sin|1924-07-04
Eva Mattes|Erna Maetthes|1954-12-14
Eva Melander|Ebba Meander|1974-12-25
Eva Mendes|Evie Miendres|1974-03-05
Eva Riccobono|Elsa Riccobene|1983-02-07
Evamaria Heyse|Eva Marlene Hayser|1920 – 1980
Evan Alex|Ethan Axel|2008-05-05
Evan C. Kim|Eldon C. Kum|1953-02-17
Evan Rachel Wood|Elin Rachel Woolf|1987-09-07
Evangeline Lilly|Evalina Leila|1979-08-03
Eve|Eva|1978-11-10
Eve Arden|Elle Artem|1908-04-30 – 1990-11-12
Eve Gordon|Eva Garden|1960-06-25
Eve Hewson|Eva Huyson|1991-07-07
Evelyn Claire|Emilie Clarn|1996-04-11
Evelyn Guerrero|Emily Garrera|1949-02-24
Evelyn Hamann|Emilie Mahann|1942-08-06 – 2007-10-28
Evelyn Keyes|Emilie Keyson|1919-11-20 – 2008-07-04
Everardo Gout|Evaran Gorn|19xx
Everett McGill|Elliott McGrill|1945-10-21
Everett Sloane|Elliott Sleanne|1909-10-01 – 1965-08-06
Everly Carganilla|Emery Carvinella|2014-05-20
Evgeny Zharikov|Egor Zhavrinpv|1941-02-26 – 2012-01-18
Ewan McGregor|Evan McCracker|1971-03-31
Ewen Bremner|Ewan Brunmer|1972-01-23
Eyþór Guðjónsson|Einar Gudmundsen|1968-02-05
Ezra Miller|Eron Mueller|1992-09-30
F. Gary Gray|F. Gerry Green|1969-07-17
F. Javier Gutiérrez|F. Julián Guteran|1973-07-05
F. Murray Abraham|F. Morgan Adamson|1939-10-24
F.W. Murnau|W.F. Mortnau|1888-12-28 – 1931-03-11
Fabian Buch|Flavio Band|1990-07-30
Fabian Busch|Florian Bucht|1975-10-01
Fabian Cevallos|Flavio Ceballes|
Fabian Halbig|Florian Halbicht|1992-12-23
Fabian Hinrichs|Florian Heinrichs|1974
Fabio Guaglione|Flavio Guagliano|1981-09-13
Fabio Resinaro|Flavio Rosinare|1980
Fabrice Luchini|Fiorenzo Lucente|1951-11-01
Fabrizio Capucci|Ferruccio Carpacco|1939-08-04 – 2024-12-19
Fabrizio Mioni|Ferruccio Miero|1930-09-23 – 2020-06-08
Fairuza Balk|Furiza Belk|1974-05-21
Faith Ford|Faye Forth|1964-09-14
Faith Hill|Faith Mill|1967-09-21
Faithe Herman|Faitha Herbert|2007-12-27
Faizon Love|Faron Loaf|1968-06-04
Fala Chen|Fara Chan|1982-02-24
Famke Janssen|Fehmke Jensson|1964-11-05
Fang Yin|Fai Yan|1986-08-27
Fanny Ardant|Francine Ardouin|1949-03-22
Fanny Brice|Francine Brei|1891-10-29 – 1951-05-29
Fanny Cottençon|Franny Cattinçon|1957-05-11
Fantasia Barrino|Fantasta Barraine|1984-06-30
Fares Fares|Farid Farid|1973-04-29
Farhad Mann|Ferhod Mensch|
Farley Granger|Finley Gringer|1925-07-01 – 2011-03-27
Farrah Fawcett|Farlett Fawsah|1947-02-02 – 2009-06-25
Fathia Youssouf|Fania Youssel|2006-08-01
Fatih Akin|Fadil Akay|1973-08-25
Fatima Sana Shaikh|Fatima Sneha Shah|1992-01-11
Fatimata Sanga|Fadima Sankar|
Fatsah Bouyahmed|Farhan Bourammed|1971-04-02
Fausto Tozzi|Fosco Tocci|1921-10-29 – 1978-12-10
Fay Bainter|Faye Bainor|1893-12-07 – 1968-04-16
Fay Compton|Faye Campten|1894-09-18 – 1978-12-12
Fay Wray|Faye Wreye|1907-09-15 – 2004-08-08
Faye Dunaway|Fay Runaway|1941-01-14
Faye Grant|Fay Grunt|1957-07-16
Faye Wong|Fay Wang|1969-08-08
Fede Álvarez|Felio Amarez|1978-02-09
Federica Farnese|Fiorenza Farneso|
Federico Fellini|Francesco Filleni|1920-01-20 – 1993-10-31
Federico Luppi|Francesco Loppi|1936-02-23 – 2017-10-20
Fei Yan|Feng Yin|1983
Felice Andreasi|Fabrice Androssi|1928-01-08 – 2005-12-25
Felicia Farr|Fiona Farn|1932-10-04
Felicity Jones|Felina T. James|1983-10-17
Felix Cameron|Fabrice Kamerun|
Felix Chong|Fredrik Ching|1968-01-01
Felix Herngren|Fredrik Harngren|1967-02-04
Felix Kammerer|Friedrich Kämmerling|1995-09-19
Felix van Groeningen|Fredrik van Grobingen|1977-11-01
Felix von Leitner|Fritzi von der Leit|1973-08-02
Felton Perry|Fenton Percy|1945-09-11
Feodor Chaliapin Jr.|Fjodor Chaliepen Jr.|1905-10-06 – 1992-09-17
Ferdia Walsh-Peelo|Ferdiad Welsh-Pullo|1999-10-12
Ferdinand Porsche|Fridolin Pursche|1875-09-03 – 1951-01-30
Ferdinando Baldi|Federigo Balbi|1927-05-19 – 2007-11-12
Ferdy Mayne|Ferry Mayle|1916-03-11 – 1998-01-30
Fernand Gravey|Fabien Gravier|1905-12-25 – 1970-11-02
Fernanda Montenegro|Francesca Monteblanco|1929-10-16
Fernando Alonso|Floriano Alfonso|1981-07-29
Fernando Di Leo|Francisco Di Lero|1932-01-11 – 2003-12-01
Fernando Meirelles|Francisco Meirandes|1955-09-11
Fernando Rey|Francisco Roy|1917-09-20 – 1994-03-09
Fernando Tielve|Francisco Tirvene|1986-07-21
Ferran Terraza|Fedor Tareza|
Ferruccio Amendola|Federico Amendoni|1930-07-22 – 2001-09-03
Fidel Castro|Fidel Castor|1926-08-13 – 2016-11-25
Filip Berg|Felix Burg|1986-10-02
Filippo Nigro|Fabrio Negro|1970-12-03
Filippo Timi|Fabrio Timar|1974-02-27
Finn Carter|Flynn Cartwright|1960-03-09
Finn Jones|Flynn James|1988-03-24
Finn Wittrock|Fynn Wottrop|1984
Finn Wolfhard|Flynn Wolfheart|2002-12-23
Finola Hughes|Fiona Hulls|1959-10-29
Fiona Horsey|Finola Rossey|
Fiona Lewis|Finola Louis|1946-09-28
Fiona Shaw|Finola Shave|1958-07-10
Fionn Whitehead|Flynn Weissred|1997-07-18
Fionnula Flanagan|Fleur Iona Flennigan|1941-12-10
Firmine Richard|Farmine Rochard|1947-09-25
Fisher Stevens|Fletcher Stephans|1963-11-27
Fita Benkhoff|Fira Benshof|1901-11-01 – 1967-10-26
Flavio Bucci|Fabio Bruschi|1947-05-25 – 2020-02-18
Fleming B. Fuller|Fleme B. Filler|
Flex Alexander|Flux Alexandro|1970-04-15
Flora Robson|Florence Renson|1902-03-28 – 1984-07-07
Florence Foster Jenkins|Flora Foerster Jenkers|1868-07-19 – 1944-11-26
Florence Henderson|Florine Handersen|1934-02-14 – 2016-11-24
Florence Kasumba|Flora Kasumi|1976
Florence Lee|Florine Ley|1864-02 – 1933-02-17
Florence Pernel|Flora Perncell|1962-05-30
Florence Pugh|Flora Pogg|1996-01-03
Florence Reed|Flora Weed|1883-01-10 – 1967-11-21
Florian Baxmeyer|Fabian Baxmueller|1974
Florian David Fitz|Flavio David Fatz|1974-11-20
Florian Gallenberger|Fabian Gallersburger|1972
Florian Henckel von Donnersmarck|Fabian Hencker von Donnerstarck|1973-05-02
Florian König|Fabian Knötlich|1967-09-14
Florian Lukas|Fabian Luca|1973-03-16
Florian Munteanu|Fabian Mureșanu|1990
Florian Stetter|Fabian Stutter|1977-08-02
Florian Zeller|Fabian Zollner|1979-06-28
Floriane Eichhorn|Fabiane Elmshorn|1981-07-22
Floyd Red Crow Westerman|Flynn Red Cow Westerham|1936-08-17 – 2007-12-13
Folco Lulli|Fosco Lolli|1912-07-03 – 1970-05-23
Forest Whitaker|Foster Withtaker|1961-07-15
Forrest Goodluck|Foster Goodlord|1998-08-06
Forrest Tucker|Foster Tacker|1919-02-12 – 1986-10-25
Fox Harris|Ford Harrels|1936-05-03 – 1988-12-27
Fran Drescher|Fern Drossler|1957-09-30
Fran Kranz|Fern Krenz|1981-07-13
Fran Rubel Kuzui|Fern Rouble Kozoi|
Franca Bettoia|Frida Bettogna|1936-05-14 – 2024-09-13
Frances Conroy|Francine Convoy|1953-11-13
Frances Dee|Francine Di|1909-11-26 – 2004-03-06
Frances Drake|Francie Drach|1912-10-22 – 2000-01-18
Frances Fisher|Francie Fishing|1952-05-11
Frances Lee McCain|Fiona Lee McCane|1944-07-28
Frances McDormand|Francine McDoormat|1957-06-23
Frances O'Connor|Francine O'Connell|1967-06-12
Frances Sternhagen|Francie Sternhagel|1930-01-13 – 2023-11-27
Francesca Annis|Fernanda Annsens|1945-05-14
Francesca Bertini|Fernanda Bertolli|1892-01-05 – 1985-10-13
Francesca Dellera|Fernanda Dellani|1963-10-02
Francesca Hayward|Fernanda Haywartz|1992-07-04
Francesca Neri|Fernanda Nera|1964-02-10
Francesco Casale|Federico Causali|1960-11-20
Francesco De Vito|Fiorenzo De Vitta|1970-08-10
Francesco DePinto|Federico DePano|
Francesco Rosi|Felicio Rosso|1922-11-15 – 2015-01-10
Francis Blanche|François Bleuse|1921-07-20 – 1974-07-06
Francis Capra|Ferris Copra|1983-04-22
Francis Delia|Frankie Daliah|
Francis Ford Coppola|Franky Fort Caputa|1939-04-07
Francis Giacobetti|François Giacobutte|1939-07-01 – 2025-06-08
Francis Huster|François Hussen|1947-12-08
Francis L. Sullivan|Franklin L. Sollivan|1903-01-06 – 1956-11-19
Francis Lawrence|Ferris Laurent|1971-03-26
Francis Leroi|François Loyer|1942-09-05 – 2002-03-21
Francis Veber|François Veder|1937-07-28
Francis X. Bushman|Ferdie X. Blushman|1883-01-10 – 1966-08-23
Francisco Macías Nguema|Federico Muñoz Ngomo|1924-01-01 – 1979-09-29
Franck Gastambide|Frantz Gestarenne|1978-10-31
Franco Branciaroli|Fredo Brancaccioli|1948-05-27
Franco Castellano|Fredo Castagnetti|1925-06-20 – 1999-12-28
Franco Citti|Fredo Cilli|1935-04-23 – 2016-01-14
Franco Interlenghi|Fredo Intraveni|1931-10-29 – 2015-09-10
Franco Moschino|Fredo Moschini|1950-02-27 – 1994-09-18
Franco Nero|Fredo Narco|1941-11-23
Franco Silva|Fredo Silba|1920-02-18 – 1995-11-10
Franco Zeffirelli|Fredo Zingarelli|1923-02-12 – 2019-06-15
Frank Beyer|Falk Bair|1932-05-26 – 2006-10-01
Frank Campanella|Fred Campinelli|1919-03-12 – 2006-12-30
Frank Capra|Fred Copra|1897-05-18 – 1991-09-03
Frank Coraci|Fred Caracho|1966-02-03
Frank Darabont|Fronck Darabound|1959-01-28
Frank Dux|Fred Dox|1956-04-06
Frank Finlay|Fred Fanley|1926-08-06 – 2016-01-30
Frank Frazetta|Fred Farozzi|1928-02-09 – 2010-05-10
Frank Giering|Franz Giermann|1971-11-23 – 2010-06-23
Frank Gorshin|Fred Gorven|1933-04-05 – 2005-05-17
Frank Grillo|Fronck Grolli|1963-06-08
Frank Langella|Fred Longalla|1938-01-01
Frank Lupo|Fred Leo|1955-01-11 – 2021-02-18
Frank Marshall|Frank Marshman|1946-09-13
Frank McRae|Fred McRay|1944-03-18 – 2021-04-29
Frank Meyer-Brockmann|Fred Müller-Brockner|1959-05-07
Frank Miller|Fred Mueller|1957-01-27
Frank Moore|Fred Muir|1946
Frank Morgan|Fred Morgen|1890-06-01 – 1949-09-18
Frank Oz|Fred Oss|1944-05-25
Frank Pettingell|Fronck Pettinger|1891-01-01 – 1966-02-17
Frank Pierson|Fred Piercen|1925-05-12 – 2012-07-22
Frank Puglia|Fred Pugleo|1892-03-09 – 1975-10-25
Frank Sheeran|Fronck Sherwood|1920-10-25 – 2003-12-14
Frank Silvera|Fred Silberra|1914-07-24 – 1970-06-11
Frank Sinatra|Fred Senatro|1915-12-12 – 1998-05-14
Frank Stallone|Fred Melone|1950-07-30
Frank Strecker|Franz Stockner|1941-06-15 – 2000-03-27
Frank Tashlin|Fred Tarrin|1913-02-19 – 1972-05-05
Frank Thring|Falk Throng|1926-05-11 – 1994-12-29
Frank Vosper|Fred Vespar|1899-12-15 – 1937-03-06
Frank Whaley|Fred Whealy|1963-07-20
Frank Wisbar|Franz Wismar|1899-12-09 – 1967-03-17
Frank Wolff|Hank Wulf|1928-05-11 – 1971-12-12
Franka Potente|Frauke Patenta|1974-07-22
Frankie Corio|Freddy Cheereo|2010-07-07
Frankie Faison|Freddy Raison|1949-06-10
Franklin Delano Roosevelt|Frederic Dalen Rosewell|1882-01-30 – 1945-04-12
Franklin J. Schaffner|Franklin Jay Schaeffer|1921-05-30 – 1989-07-02
Franky G|Freddy G|1965-10-30
Frant Gwo|Frad Gwan|1980-12-15
Franz Beckenbauer|Fritz Beckenhauer|1945-09-11 – 2024-01-07
Franz Braunshausen|Fritz Braunsheimer|1956
Franz Buchrieser|Fritz Buchreiser|1937-12-26
Franz Drameh|Fritz Draven|1993-01-05
Franz Josef Gottlieb|Fritz Josef Gottlob|1930-11-01 – 2006-07-23
Franz Josef Strauß|Franz-Xaver Strauch|1915-09-06 – 1988-10-03
Franz Marischka|Fritz Mareschke|1918-07-02 – 2009-02-18
Franz Muxeneder|Fritz Maixnereder|1920-10-19 – 1988-01-03
Franz Rogowski|Fritz Rogenski|1986
Franz Schnyder|Fritz Schnytzer|1910-03-05 – 1993-02-08
Franz Xaver Brückner|Franz Josef Bruxner|1987-09-25
Franziska Buch|Franka S. Band|1960-11-15
Franziska Weisz|Franka Z. Weinz|1980-05-04
Franziska Wulf|Friederike Wolff|1984
François Berléand|Francis Barleon|1952-04-22
François Bégaudeau|Francis Begeron|1971-04-27
François Cluzet|Félicien Cluser|1955-09-21
François Damiens|Francis Daniers|1973-01-17
François Leterrier|Félicien Leterrenoir|1929-05-26 – 2020-12-03
François Mitterrand|Félicien Mitteraux|1916-10-26 – 1996-01-08
François Ozon|Francis Ozomme|1967-11-15
François Truffaut|Francis Truffière|1932-02-06 – 1984-10-21
Françoise Bertin|Franck Cesar Bertran|1925-09-23 – 2014-10-26
Françoise Dorléac|Frédéric Doisneau|1942-03-21 – 1967-06-26
Françoise Fabian|Franck Cesar Fabien|1933-05-10
Fred Armisen|Frank Arnesen|1966-12-04
Fred Astaire|Fred Astrelle|1899-05-10 – 1987-06-22
Fred de Cordova|Frank de Curdoba|1910-10-27 – 2001-09-15
Fred Dekker|Frank Daeckel|1959-04-09
Fred F. Sears|Fred S. Fears|1913-07-07 – 1957-11-30
Fred Gwynne|Fred Gwayne|1926-07-10 – 1993-07-02
Fred Hampton|Frank Thampton|1948-08-30 – 1969-12-04
Fred Hechinger|Ed Hennicher|1999-12-02
Fred Jackman|Ed Juckmann|1881-07-09 – 1959-08-27
Fred M. Wilcox|Frank M. Wixom|1907-12-22 – 1964-09-23
Fred MacMurray|Frank MacMoray|1908-08-30 – 1991-11-05
Fred Niblo|Frank Nibble|1874-01-06 – 1948-11-11
Fred Olen Ray|Frank Olen Rex|1954-09-10
Fred Schepisi|Frank Schisespi|1939-12-26
Fred Stillkrauth|Frank Stahlkraut|1939-08-14 – 2020-08-07
Fred Thompson|Fred Thumpsen|1942-08-19 – 2015-11-01
Fred Ulysse|Frank Odysse|1934-09-12 – 2020-10-24
Fred Ward|Frank Weird|1942-12-30 – 2022-05-08
Fred Williamson|Frank Wilhelmsen|1938-03-05
Fred Zinnemann|Frank Zundermann|1907-04-29 – 1997-03-14
Freddie Bartholomew|Frankie Bartolomeo|1924-03-28 – 1992-01-23
Freddie Blassie|Frankie Blessin|1918-02-08 – 2003-06-02
Freddie Francis|Fredric Franklins|1917-12-22 – 2007-03-17
Freddie Frinton|Frankie Finten|1909-01-17 – 1968-10-16
Freddie Gibbs|Frankie Glibs|1982-06-28
Freddie Highmore|Frankie Hiscore|1992-02-14
Freddie Jones|Franklin James|1927-09-12 – 2019-07-09
Freddie Mercury|Fred Mercurio|1946-09-05 – 1991-11-24
Freddie Prinze Jr.|Frankie Prynce Jr.|1976-03-08
Freddy Rodríguez|Frankie Ramírez|1975-01-17
Frederic Forrest|Fredric Furster|1936-12-23 – 2023-06-23
Frederick Koehler|Friedemann Koller|1975-06-16
Frederick Lau|Friedemann Lei|1989-08-17
Frederick Lewis|Fredric Louis|
Frederick Stafford|Ferdinand Steelford|1928-03-11 – 1979-07-28
Frederick Wiseman|Ferdinand Wiseguy|1930-01-01
Frederick Worlock|Friedemann Warlok|1886-12-14 – 1973-08-01
Fredric Lehne|Frederick Leyne|1959-02-03
Fredric March|Frederick Mai|1897-08-31 – 1975-04-14
Fredro Starr|Fredo Sturr|1971-04-18
Freida Pinto|Freda Ponti|1984-10-18
French Stewart|Franch Stuart|1964-02-20
Frida Hallgren|Freya Haldren|1974-12-16
Frida Kahlo|Freja Kaldo|1907-07-06 – 1954-07-13
Friedrich Domin|Fredrik Durmin|1902-05-15 – 1961-12-18
Friedrich Fehér|Fridolf Fedér|1889-03-16 – 1950-09-30
Friedrich Mücke|Felix Mückrig|1981-03-12
Friedrich Schoenfelder|Fridolf Schoenacker|1916-10-17 – 2011-08-14
Friedrich von Thun|Fridolf von Thal|1942-06-30
Fritz Karl|Franz Kurt|1967-12-21
Fritz Lang|Franz Long|1890-12-05 – 1976-08-02
Fritz Rasp|Franz Risp|1891-05-13 – 1976-11-30
Fritz Roth|Fanz Ros|1955 – 2022-08-08
Fritz Walter|Fritz Waldmann|1920-10-31 – 2002-06-17
Fritz Weaver|Flint Weber|1926-01-19 – 2016-11-26
Fritz Wepper|Franz Wupper|1941-08-17 – 2024-03-25
Fritzi Eichhorn|Franzi Elmshorn|1981-07-22
Frédéric Chau|Félicien Chant|1977-06-06
Frédéric Diefenthal|Félicien Dueferthal|1968-07-26
Frédéric Forestier|Félicien Fournier|1969
Frédérique Bel|Félicie Bal|1975-03-24
Frédérique Feder|Francine Feller|
Fujiko|Fumika|1980-03-05
Fumihiko Takayama|Fumihiro Takayasu|1953
Fumiyo Kohinata|Fusayo Kohirato|1954-01-23
Fyodor Bondarchuk|Fyodor Bogdarchuk|1967-05-09
Fyvush Finkel|Felush Finkler|1922-10-09 – 2016-08-14
Fëdor Mihajlovič Dostoevskij|Fëdot Mikhailovič Dostoeshkev|1821-10-30 – 1881-01-28
Fūka Koshiba|Funa Koshima|1997-04-16
G.W. Bailey|G.W. Barley|1944-08-27
Gabe Ibáñez|Gave Igualez|1971-06-07
Gabriel Basso|Gael Bascon|1994-12-11
Gabriel Bateman|Gabrio Bateson|2004-09-10
Gabriel Byrne|Garrett L. Byrd|1950-05-12
Gabriel Garko|Gabrio Gardel|1972-07-12
Gabriel LaBelle|Gregory LaBette|2002-09-20
Gabriel Macht|Gavriel Might|1972-01-22
Gabriel Mann|Gabrio Mensch|1972-05-14
Gabriel Pontello|Gabrio Porcello|1945
Gabriela Cowperthwaite|Gloriana Cowpathwell|1971
Gabriela Maria Schmeide|Gabriele Marina Schmiegle|1965-07-10
Gabriela Sabatini|Gloriana Sabatelli|1970-05-16
Gabriele Ferzetti|Gregorio Ferrucci|1925-03-17 – 2015-12-02
Gabriele Lavia|Giacomo Lavini|1942-10-10
Gabriele Muccino|Gregorio Mocchine|1967-05-20
Gabriella Wilde|Giulietta Wilder|1989-04-08
Gabriella Wright|Giulietta Wrong|1982-06-19
Gabrielle Anwar|Geraldine Antwar|1970-02-04
Gabrielle Carteris|Gabriela Cartasis|1961-01-02
Gabrielle Haugh|Gabriela Harl|1996-01-07
Gabrielle Union|Gabrina Unell|1972-10-29
Gabrielle Walsh|Gabriela Welsh|1989-05-10
Gaby Basset|Gerda Basson|1902-03-29 – 2001-10-07
Gaby Dohm|Gabi Dorm|1943-09-23
Gaby Fuchs|Gerda Fochs|1950
Gaby Hoffmann|Gerda Hoffstadt|1982
Gael García Bernal|Gabriel Gracía Bernez|1978-11-30
Gage Golightly|Gig Golively|1993-09-05
Gaia Scodellaro|Giana Scodarillo|1985-07-15
Gail Davis|Gale Davids|1925-10-05 – 1997-03-15
Gal Gadot|Gil Godot|1985-04-30
Gale Page|Grant Paige|1913-07-23 – 1983-01-08
Gang Wu|Gao Woo|1962-12-09
Garance Marillier|Ghislain Mandrillon|1998-02-11
Gareth Edwards|Galen Edmonds|1975-06-01
Gareth Evans|Gavin Evers|1980-04-06
Gareth Maxwell Roberts|Galen Maxwell Rotbarts|
Garikayi Mutambirwa|Gamukayi Musandirwa|1978-06-21
Garret Dillahunt|Garren Dillan|1964-11-24
Garrett Hedlund|Graham Hellhound|1984-09-03
Garry Kasparov|Georgy Kashkarov|1963-04-13
Garry Marshall|Gery Marshman|1934-11-13 – 2016-07-19
Garry Shandling|Goran Shandler|1949-11-29 – 2016-03-24
Garth Davis|Gabe Davids|1974-09-23
Garth Jennings|Gabe Jenners|1972
